contract_id,clause_text,clause_type,answer
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,"Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"").",Renewal Term,successive 1 year
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",Renewal Term,successive 1 year
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.",Renewal Term,successive 10 years
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,"This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").",Renewal Term,perpetual
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,"This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").",Renewal Term,successive 1 year
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,"This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.",Renewal Term,successive 1 year
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,"This  Agreement  shall  be effective upon the<omitted>Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.",Renewal Term,successive 1 year
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,"This Agreement shall be for the term of one year; thereafter, the Agreement shall renew automatically under these same  terms and agreements unless superceded by future agreements.",Renewal Term,Successive 1 year
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,"If the Term is renewed as described in Section 2(b), Network and Affiliate will negotiate exclusively and in good faith concerning further renewal of this Agreement upon mutually-agreed terms and conditions; provided, that unless Network and Affiliate otherwise agree in writing, the exclusive negotiation period will end six (6) months before the expiration of the Term. If Affiliate fails to notify Network of its desire that this Agreement terminate on its expiration date, at least six (6) months before the expiration date, this Agreement will automatically renew, upon the same terms and conditions, for an additional four (4) -year period (""Renewal Term"").",Renewal Term,"4 years, 6 months"
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,This Agreement will automatically renew for successive  one-year  terms  unless  terminated by either party by providing the other  with  30  days  written notice that this Agreement will not be renewed or Affiliate  enters  into  a  Processing  agreement  with  Network  1  and  an ISO Sponsorship  agreement  with  Harris  Bank  in  which  case  this Agreement will automatically  terminate  concurrent  with  the  execution  of  such agreements.,Renewal Term,successive 1 year
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,"This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund's directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.",Renewal Term,successive 1 year
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.pdf,"Except as otherwise specified in this Agreement, the Parties' respective rights and obligations under this Agreement shall commence on the Effective Date and shall remain in full force for ten (10) years after the First Commercial Sale of the first Licensed Product, and shall thereafter automatically renew for an unlimited period of time unless otherwise terminated in accordance with Section 15.2.",Renewal Term,perpetual
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,"The Initial Term shall automatically renew for one-month periods thereafter unless either party provides 30- days advance notice of termination, unless earlier terminated pursuant to Section 2.2 hereof",Renewal Term,successive 1 month
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement.,Renewal Term,Successive 1 year
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,"IMNTV will extend the Agreement on the same terms and conditions for additional one-year terms, providing Distributor and IMNTV agree, predicated on satisfactory performance by both parties",Renewal Term,successive 1 year
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,"At the end of such [*] ([*]) year period, HSWI shall have the right to renew the Agreement under materially the same terms or shall have an option to purchase the Translated Content outright to the extent rights permit and to the extent the parties mutually agree to terms for such sale.",Renewal Term,
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,"This Agreement may be renewed for an additional term of ten (10) years by      notice in writing given by XFN to CEIS at the expiry of the Term, for a      consideration to be mutually agreed.",Renewal Term,10 years
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,"This contract shall remain in effect initially for the five (5) year term (""Initial Term"") from the date signed and shall be automatically extended for one (1) year periods after the Initial Term (""Renewal Term"") unless (i) either party provides written notice of its intention not to renew the Agreement within 180 days prior to any Renewal Term; or (ii) this Agreement is otherwise terminated pursuant to the terms of this Section 12.",Renewal Term,successive 1 year
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,"This Agreement shall automatically renew for an additional period of three (3) years (such renewal  and each subsequent renewal shall be defined as a ""Renewal Term"") provided that EFS achieves Net Merchandise Sales of at  least ***** during the fourth year following launch of the first Website.",Renewal Term,3 years
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,"Without prejudice to either party's right to terminate this Agreement as set forth in sub​ sections 18.2 to 18.5 below, Cisco may, by written notice to Distributor, given at least thirty (30) days prior to the end of the then-current term of the Agreement, extend the term of the Agreement for the period set forth in such notice, up to a maximum of one (1) year beyond the then- current expiration date.",Renewal Term,1 year
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",Term: twelve (12) months from the date of the Agreement which term shall automatically renew for an additional twelve (12) months on such date if the Agreement is not otherwise terminated according to Section 8 of the Agreement.,Renewal Term,12 months
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,"This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the<omitted>Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.",Renewal Term,successive 1 month
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,"This Agreement shall continue in effect from the Effective Date for a one (1) year period, unless earlier terminated as set forth below, and thereafter shall renew automatically for successive one (1) year periods unless either party gives the other party at least thirty (30) days prior written notice of its intent not to renew the Agreement.",Renewal Term,successine 1 year
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,"Diplomat or Tadeo, if such party is not in default of the terms of this Agreement, may extend the term of this Agreement for an additional one year (""Additional Period""), provided the extending party gives the other party at least sixty (60) days advance written notice before the end of the Period.",Renewal Term,1 year
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF",The Agreement will be automatically          renewed for additional one (1) year terms (subject to applicable fee          adjustments) unless thirty (30) days prior to the anniversary of the          Effective Date Licensee gives written notice to XACCT of its intention          not to renew.,Renewal Term,successive 1 year
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.PDF,"Following the completion of such maintenance term, Bankers Bank may, at its option, renew maintenance for subsequent periods of one (1) year each, subject to adjustments proposed by Netzee not to exceed 5% at least sixty (60) days in advance of the applicable renewal date.",Renewal Term,successive 1 year
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.PDF,This      Agreement shall automatically renew for consecutive one (1) year terms      at XIMAGE's then prevailing rates at the end of each one (1) year term      unless either party gives at least sixty (60) days prior written notice      of the non-renewal of this Agreement.,Renewal Term,successive 1 year
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,"This Agreement shall be renewed automatically for another five (5) years upon the expiration unless the Parties confirm, in writing, the termination of this Agreement.",Renewal Term,5 years
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,The BSP then have the option to renew the agreement for another 5 years subject to any restructuring of the agreement as required by the parties.,Renewal Term,5 years
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,"Unless either party gives the other at least ninety days' prior written notice that it has elected not to extend the term of this Agreement beyond December 31, 1998, the term of this Agreement will be automatically extended until December 31, 1999. Thereafter this Agreement will automatically be renewed for successive additional periods of one year, unless either party gives notice of cancellation on or before October 1 of any such year.",Renewal Term,successive 1 year
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,"If M&I and Customer are unable to agree upon the terms for renewal of this Agreement at least six (6) months prior to the expiration of the Term, then Customer may, at its option, renew this Agreement for one (1) twelve month period at the then-current terms and conditions of this Agreement.",Renewal Term,12 months
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,"Unless Customer notifies Metavante of its intent not to renew this Agreement in writing within a period of three (3) months following the Renewal Notice, this Agreement shall automatically renew at the end of the Initial Term on the same terms (including pricing terms) for one (1) twelve-month period.",Renewal Term,12 Months
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,"Thereafter, this agreement will renew automatically from year to year unless cancelled in writing by either Party giving the other written notice of such cancellation a minimum of 60 days before the end of the then current term.",Renewal Term,successive 1 year
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF","This Agreement shall      renew for successive 1-year periods, after the initial 1 Year Term, if      agreed by both parties in writing within 30 days of license expiration.",Renewal Term,successive 1 year
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,"Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any.",Renewal Term,
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,"Thereafter, the Maintenance Term shall automatically renew for successive period, 12 months, on the terms and conditions of this Agreement unless Bank of America terminates Maintenance Services pursuant to this Agreement.",Renewal Term,successive 12 months
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,"Thereafter, this





                  Agreement shall be effective month to month, until terminated                   by Transporter or Shipper upon the following written notice to                   the other specifying a termination date: sixty (60) days for

                  interruptible transportation under Rate Schedule ITS and 180                   days for firm transportation under Rate Schedule FTS.",Renewal Term,successive 1 month
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,"This Agreement will automatically renew for up to two (2) renewal terms of five (5) years each (each, an ""Extension Period"") unless either Party provides the other Party with written notice of its intent to terminate this Agreement at least six (6) months prior to the end of the Initial Term or the then current Extension Period.",Renewal Term,2 5 years
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,"In accordance with items 9.3, 9.4, and 10.3, this Contract shall come into      force on the Effective Date, remain effective throughout the Initial Term,      and be prolonged, or further extended automatically for a period of 12<omitted>months, each such extension commencing at the end of the last day of the      Initial Term or the relevant anniversary thereof, unless either Party      serves written notice of termination on the other Party at least 65 days      prior to the end of the Initial Term, or any subsequent extension.",Renewal Term,successive 12 months
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF","This Agreement shall commence on the Effective Date and, unless sooner terminated in accordance with its terms, including by Ginkgo pursuant to Section 7.3 (Buy-Down Election) or extended by the mutual written agreement of the Parties, shall continue until the Intended End of Term (such time period, as may be extended pursuant to this Section 13.3.1 (Term - General), the ""Term""); provided that, if,<omitted>at the expiration of the Intended End of Term, Ginkgo has paid the Minimum Cumulative Purchase Commitment, but will not have paid to BLI the Full Purchase Target, then the Term of this Agreement shall automatically extend for an additional [***] ([***]) year period from the date of the expiration of the then-Intended End of Term so that, among other things, BLI may potentially receive the benefit of the Full Purchase Target and Ginkgo may receive the continuing benefit of royalty-free licenses.",Renewal Term,
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.PDF","Unless terminated in  accordance with the provisions of Section 18, this Agreement shall automatically renew for each subsequent one-year  term.",Renewal Term,successive 1 year
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.PDF,This term shall be extended for a 1 year period provided 3000 pagers per month are distributed to Purchase customers.,Renewal Term,1 year
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,"The Term of this Agreement shall be extended for subsequent one year periods upon the mutual agreement of the parties, which agreement shall be set forth in writing (in which event a party that desires to so extend the Term of this Agreement shall notify the other party at least 120 days prior to the termination of this Agreement).",Renewal Term,
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,"You shall have the option to renew the term of this Agreement, on the terms and conditions set forth in this Agreement, for four (4) additional ten (10) year terms, upon written notice given by you to us not less than six (6) months nor more than twelve (12) months prior to the scheduled expiration date of the term then in effect, provided that each of the following conditions are satisfied:   3.2.1 You shall not be in default of any provision of this Agreement, or any other agreement between you and us or our affiliates, or any standards set forth in the Manuals, and you shall have complied with all the terms and conditions of this Agreement, the Manuals and any other agreements during the term of this Agreement.   3.2.2 You shall have satisfied all monetary obligations owed by you to us and our affiliates, and shall have timely met those obligations throughout the term of this Agreement.   3.2.3 You shall, at our option, execute our then-current form of Master Franchise Agreement and any addenda thereto for the renewal term, which renewal agreement shall supersede this Agreement in all respects, and the terms of which, including, without limitation, continuing fees payable to us, may differ materially and be less advantageous to you than the terms of this Agreement.   3.2.4 You shall comply with our then-current qualification and training requirements.   3.2.5 You shall pay us a renewal fee in the sum of Ten Thousand Dollars ($10,000) for the right to renew this Agreement.   3.2.6 You shall execute a general release, in a form prescribed by us, of any and all claims which you may have or believe to have against us and/or our affiliates and our respective officers, directors, agents and employees, whether the claims are known or unknown, which are based on, arise from or relate to this Agreement or the Franchised Business, as well as claims, known or unknown, which are not based on, do not arise from or do not relate to this Agreement or the Franchised Business, but which relate to other franchise agreements, Franchised Businesses and other agreements between us or our affiliates and you which arose on or before the date of the general release, including, without limitation, all obligations, liabilities, demands, costs, expenses, damages, claims, actions and causes of action, of whatever nature, character or description, arising under federal, state and local laws, rules and ordinances (provided, however, that all rights enjoyed by you and any causes of action arising in your favor from the provisions of Article 33 of the New York General Business Law (""GBL"") and the regulations issued thereunder shall remain in force; it being the intent of this provision that the non-waiver provisions of GBL Sections 687.4 and 687.5 be satisfied).",Renewal Term,four successive 10 years
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","Roche shall have the right to extend the term of the CDx Development Program, upon […***…] prior written notice to FMI as specified in Section 19.13, for additional three (3) year periods, during any period of time in which Roche is a majority shareholder of FMI. Roche shall have the right to extend the Immunotherapy Testing Platform Development Program, upon [...***...] written notice to FMI as specified in Section 19.13, for up to six (6)<omitted>additional one (1) year periods, during any period of time in which Roche is a majority shareholder of FMI (each a ""Signature Identification Renewal Term""), provided, for clarity, that during any Signature Identification Renewal Term, FMI's obligations under Section 16.1 shall continue to apply to any signature identified under this Agreement but that exclusivity under Section 3.2.8 shall not apply to the Immuno-Biomarker Discovery Platform. The Database Insights<omitted>Term may be extended at Roche's option, upon […***…] notice to FMI as specified in Section 19.13, for additional three (3) year periods, during any period of time in which Roche is a majority shareholder of FMI (each a ""Database Renewal Term"").",Renewal Term,
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF",NVOS and HGF may renew the Agreement within two (2) years of the expiry of the initial term upon mutual understanding. It is understood that a subsequent renewal of a five (5) year term will be negotiated in good faith and shall carry terms very close to the original Agreement.,Renewal Term,
MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,"At the end of such initial term, and any renewed term, as applicable, this Agreement shall automatically renew for an additional one (1) year term, unless a party provides written notice to the other parties at least six (6) months prior to the end of the<omitted>initial term.",Renewal Term,1 year
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.PDF","This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.",Renewal Term,successive [] years
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,"Unless terminated prior to the natural expiration of the Initial Term, upon the expiry of the  Initial Term this Agreement shall automatically renew for successive terms of the same duration, unless either party gives written notice to the  other of such party's desire not to renew not less than ninety (90) days prior to the date of the expiration of the Initial Term or any









  successive term thereafter.",Renewal Term,successive 5 years
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF",This Agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.,Renewal Term,successive 1 year
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years  thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a  ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety  (90) days before the end of the Initial Term or Renewal Term, if any.",Renewal Term,successive 1 year
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.PDF,"Thereafter, this Agreement shall be renewed automatically on a five (5) year basis, unless one party notifies the other of its desire to terminate this Agreement at least sixty 90 days prior to the expiration of the Initial Term or then current renewal term, as applicable, or unless a new Agreement is signed between the USA MCO and IMedicor which will then invalidate this Agreement.",Renewal Term,successive 5 years
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,"Subject to the other provisions contained herein, this AGREEMENT shall be for a term of thirty (30) years from the Effective Date, which shall automatically renew from year-to-year thereafter unless terminated by a Party upon sixty (60) days' written notice after the end of the term.",Renewal Term,successive 1 year
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF","The terms of this Agreement shall be one year from the effective date and will be automatically renewed on each anniversary of the effective date, for a renewal term of one year unless either party provides written notification of its intention not to renew this Agreement at least one month prior to the expiration of the initial or any renewal terms.",Renewal Term,successive 1 year
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF,"The Term will automatically renew for successive additional periods of one (1) year each, provided that: (a) Distributor has made all Guaranteed Minimum Purchases and has complied with the marketing requirements under paragraph 4.1(b); (b) the parties have agreed in writing upon the Guaranteed Minimum Purchase amounts and Product price discounts for the next subsequent one (1) year renewal period; (c) neither party provided the other party with notice of such party's intention not to renew this Agreement at least thirty (30) days prior to any year's Expiration Date; and (d) neither party provided the other party with such notice as may be required pursuant to paragraphs 5.2, 5.3 or 5.4.",Renewal Term,successive 1 year
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF,"This Agreement shall have an initial term of one (1) year from the date first above written (the ""Initial Term""), and shall thereafter automatically renew for successive two (2) year periods (each a ""Renewal Term""), unless earlier terminated in accordance with the terms of this Agreement. Either party may cancel this Agreement effective on the last day of the Initial Term, or<omitted>any Renewal Term, by serving written notice of such termination on the other party at least ninety (90) days prior to the end of the Initial Term or any Renewal Term as the case may be.",Renewal Term,successive 2 years
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF",The  term of this  Agreement  shall  be two (2)  years  from the          Effective  Date with  automatic  annual  renewals  thereafter  provided          either  party does not provide  sixty (60) days  notice of  termination          prior to the renewal date or the Agreement is not otherwise  terminated          as set forth in Section 8.,Renewal Term,successive 1 year
